Data,Máxima,Mínima,Previsão
2021.12.08 14:30:00,1.13075,1.12768,1.1274276
2021.12.08 14:45:00,1.13076,1.1286,1.1285326
2021.12.08 15:00:00,1.13167,1.12872,1.1291337
2021.12.08 15:15:00,1.13167,1.12967,1.1295643
2021.12.08 15:30:00,1.13167,1.12967,1.1300995
2021.12.08 15:45:00,1.13167,1.13013,1.1303003
2021.12.08 16:00:00,1.13159,1.12994,1.1310164
2021.12.08 16:15:00,1.13192,1.12994,1.1310534
2021.12.08 16:30:00,1.13263,1.12994,1.1306708
2021.12.08 16:45:00,1.13317,1.12994,1.130556
2021.12.08 17:00:00,1.13342,1.13023,1.1303486
2021.12.08 17:15:00,1.13382,1.13146,1.1311424
2021.12.08 17:30:00,1.13382,1.13189,1.1320822
2021.12.08 17:45:00,1.13382,1.13189,1.1323776
2021.12.08 18:00:00,1.13382,1.1324,1.1327729
2021.12.08 18:15:00,1.13365,1.1324,1.1332729
2021.12.08 18:30:00,1.13488,1.1324,1.133221
2021.12.08 18:45:00,1.13488,1.1324,1.1328769
2021.12.08 19:00:00,1.13489,1.13276,1.1327074
2021.12.08 19:15:00,1.13491,1.13349,1.1331563
2021.12.08 19:30:00,1.13491,1.13438,1.1341177
2021.12.08 19:45:00,1.13491,1.13437,1.134468
2021.12.08 20:00:00,1.13491,1.13433,1.1346296
2021.12.08 20:15:00,1.13495,1.13433,1.134549
2021.12.08 20:30:00,1.13495,1.13433,1.134479
2021.12.08 20:45:00,1.13502,1.13433,1.1344546
2021.12.08 21:00:00,1.13502,1.13445,1.1344297
2021.12.08 21:15:00,1.13502,1.1345,1.134661
2021.12.08 21:30:00,1.1354,1.13452,1.1346203
2021.12.08 21:45:00,1.1354,1.13462,1.1347238
2021.12.08 22:00:00,1.1354,1.13462,1.1347936
2021.12.08 22:15:00,1.1354,1.13462,1.1347063
2021.12.08 22:30:00,1.13539,1.13433,1.135075
2021.12.08 22:45:00,1.1352,1.13423,1.1350455
2021.12.08 23:00:00,1.1349,1.1341,1.1348803
2021.12.08 23:15:00,1.13475,1.13408,1.1347215
2021.12.08 23:30:00,1.13451,1.13408,1.1344988
2021.12.08 23:45:00,1.13446,1.13398,1.1343381
2021.12.09 00:00:00,1.13446,1.13394,1.1341733
2021.12.09 00:15:00,1.13446,1.13394,1.1341594
2021.12.09 00:30:00,1.13434,1.13394,1.1342536
2021.12.09 00:45:00,1.13431,1.13394,1.1340699
2021.12.09 01:00:00,1.13445,1.13394,1.134044
2021.12.09 01:15:00,1.13445,1.13403,1.1341182
2021.12.09 01:30:00,1.13445,1.13403,1.1340817
2021.12.09 01:45:00,1.13445,1.13401,1.134075
2021.12.09 02:00:00,1.13436,1.13358,1.1342372
2021.12.09 02:15:00,1.13436,1.13337,1.1341373
2021.12.09 02:30:00,1.13428,1.13325,1.1341804
2021.12.09 02:45:00,1.13403,1.13319,1.1340686
2021.12.09 03:00:00,1.13389,1.13319,1.1338505
2021.12.09 03:15:00,1.13368,1.13319,1.1335489
2021.12.09 03:30:00,1.13368,1.13319,1.1333226
2021.12.09 03:45:00,1.13368,1.13319,1.1334012
2021.12.09 04:00:00,1.13355,1.13319,1.1333926
2021.12.09 04:15:00,1.13355,1.13297,1.133258
2021.12.09 04:30:00,1.13355,1.13286,1.1333252
2021.12.09 04:45:00,1.13355,1.13286,1.13327
2021.12.09 05:00:00,1.1334,1.13286,1.133287
2021.12.09 05:15:00,1.13348,1.13286,1.1330856
2021.12.09 05:30:00,1.13351,1.13289,1.1329594
2021.12.09 05:45:00,1.1336,1.13312,1.1330366
2021.12.09 06:00:00,1.1336,1.13314,1.1332318
2021.12.09 06:15:00,1.1336,1.1331,1.1332546
2021.12.09 06:30:00,1.1336,1.13308,1.1333276
2021.12.09 06:45:00,1.1336,1.13304,1.1334597
2021.12.09 07:00:00,1.13352,1.13259,1.1334577
2021.12.09 07:15:00,1.13332,1.13258,1.1332674
2021.12.09 07:30:00,1.13332,1.13258,1.1331254
2021.12.09 07:45:00,1.13332,1.13258,1.1330831
2021.12.09 08:00:00,1.1333,1.13258,1.1328164
2021.12.09 08:15:00,1.1333,1.13243,1.132751
2021.12.09 08:30:00,1.1333,1.13213,1.132991
2021.12.09 08:45:00,1.13314,1.13177,1.1330339
2021.12.09 09:00:00,1.13302,1.13163,1.1328105
2021.12.09 09:15:00,1.1329,1.13163,1.1326478
2021.12.09 09:30:00,1.13268,1.13163,1.1325634
2021.12.09 09:45:00,1.1326,1.13163,1.13222
2021.12.09 10:00:00,1.1326,1.13158,1.1319474
2021.12.09 10:15:00,1.1326,1.13158,1.1321412
2021.12.09 10:30:00,1.13232,1.13149,1.1319491
2021.12.09 10:45:00,1.13232,1.13146,1.1319644
2021.12.09 11:00:00,1.13232,1.13146,1.1319695
2021.12.09 11:15:00,1.13214,1.13146,1.1319069
2021.12.09 11:30:00,1.1323,1.13146,1.1316811
2021.12.09 11:45:00,1.1323,1.131,1.131684
2021.12.09 12:00:00,1.1323,1.131,1.1318401
2021.12.09 12:15:00,1.1323,1.131,1.1318704
2021.12.09 12:30:00,1.13194,1.131,1.1319162
2021.12.09 12:45:00,1.1322,1.131,1.1313934
2021.12.09 13:00:00,1.1322,1.13118,1.1312507
2021.12.09 13:15:00,1.1322,1.13082,1.1315197
2021.12.09 13:30:00,1.1322,1.13079,1.1315801
2021.12.09 13:45:00,1.13194,1.13079,1.1317865
2021.12.09 14:00:00,1.13161,1.1306,1.1315837
2021.12.09 14:15:00,1.13141,1.1306,1.131213
2021.12.09 14:30:00,1.132,1.1306,1.1310266
2021.12.09 14:45:00,1.132,1.1306,1.1311566
2021.12.09 15:00:00,1.132,1.13077,1.1309805
2021.12.09 15:15:00,1.132,1.13082,1.1309583
2021.12.09 15:30:00,1.13194,1.13073,1.1314129
2021.12.09 15:45:00,1.13188,1.13073,1.131537
2021.12.09 16:00:00,1.13188,1.12994,1.1314123
2021.12.09 16:15:00,1.13142,1.12916,1.1311837
2021.12.09 16:30:00,1.13142,1.12876,1.1310307
2021.12.09 16:45:00,1.13081,1.12805,1.13094
2021.12.09 17:00:00,1.1304,1.12778,1.1303695
2021.12.09 17:15:00,1.12947,1.12778,1.1297379
2021.12.09 17:30:00,1.12925,1.12776,1.1291001
2021.12.09 17:45:00,1.12925,1.12776,1.1284693
2021.12.09 18:00:00,1.12925,1.12776,1.1282791
2021.12.09 18:15:00,1.12912,1.12776,1.128799
2021.12.09 18:30:00,1.12907,1.12782,1.1283332
2021.12.09 18:45:00,1.12907,1.12802,1.1280832
2021.12.09 19:00:00,1.12937,1.12834,1.1282859
2021.12.09 19:15:00,1.12937,1.12815,1.1286651
2021.12.09 19:30:00,1.12937,1.12815,1.1287957
2021.12.09 19:45:00,1.12937,1.12815,1.1288941
2021.12.09 20:00:00,1.12932,1.12815,1.1289788
2021.12.09 20:15:00,1.12933,1.12841,1.1287088
2021.12.09 20:30:00,1.12933,1.1286,1.1286783
2021.12.09 20:45:00,1.12933,1.12883,1.1288322
2021.12.09 21:00:00,1.12933,1.12862,1.1291077
2021.12.09 21:15:00,1.12917,1.12862,1.1291595
2021.12.09 21:30:00,1.12926,1.12862,1.1289978
2021.12.09 21:45:00,1.12927,1.12862,1.1289037
2021.12.09 22:00:00,1.12947,1.12863,1.12878
2021.12.09 22:15:00,1.12947,1.12899,1.1289128
2021.12.09 22:30:00,1.12947,1.12884,1.1290617
2021.12.09 22:45:00,1.12947,1.12884,1.129166
2021.12.09 23:00:00,1.12939,1.12884,1.1292943
2021.12.09 23:15:00,1.12934,1.12884,1.1292084
2021.12.09 23:30:00,1.12934,1.12872,1.1290123
2021.12.09 23:45:00,1.12934,1.12872,1.1289818
2021.12.10 00:00:00,1.12933,1.12872,1.12913
2021.12.10 00:15:00,1.12951,1.12872,1.1289059
2021.12.10 00:30:00,1.12976,1.1289,1.1289146
2021.12.10 00:45:00,1.12976,1.12908,1.12911
2021.12.10 01:00:00,1.12976,1.12908,1.1291493
2021.12.10 01:15:00,1.12976,1.12914,1.1292987
2021.12.10 01:30:00,1.12953,1.12914,1.1295067
2021.12.10 01:45:00,1.12952,1.12914,1.1293659
